# Particle centroids in pixel units
# Particle radii - half of the average of the major and minor diameters of an ellipse fit to the particle area
# total particles: 3676
# mean radius: 3.2 Std.Dev. 0.14 (nm), 9.3 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
7.5066e+02	1.2041e+02	3.1778e+00
1.0952e+03	1.2068e+02	3.4815e+00
1.2849e+03	1.1964e+02	2.6636e+00
2.1676e+02	1.2111e+02	3.3668e+00
3.9296e+02	1.2199e+02	3.2233e+00
6.9946e+02	1.2171e+02	3.3928e+00
7.2650e+02	1.2078e+02	3.1544e+00
9.4865e+02	1.2068e+02	3.4200e+00
1.2186e+03	1.2053e+02	3.0085e+00
1.3135e+03	1.2175e+02	3.4014e+00
1.6296e+02	1.2295e+02	3.0879e+00
6.7201e+02	1.2221e+02	3.3110e+00
9.2349e+02	1.2205e+02	3.2220e+00
1.0686e+03	1.2390e+02	2.8175e+00
3.6588e+02	1.2577e+02	3.2610e+00
1.1890e+03	1.2421e+02	3.4467e+00
1.3444e+02	1.2483e+02	3.2529e+00
5.9466e+02	1.2630e+02	3.2428e+00
6.2145e+02	1.2597e+02	3.2684e+00
6.4662e+02	1.2309e+02	3.3578e+00
8.6812e+02	1.2539e+02	3.2831e+00
8.9536e+02	1.2432e+02	3.3447e+00
1.0586e+02	1.2669e+02	3.0816e+00
8.4225e+02	1.2780e+02	3.2581e+00
5.4170e+02	1.2773e+02	3.0877e+00
5.6860e+02	1.2721e+02	3.2335e+00
1.0413e+03	1.2730e+02	3.5769e+00
1.2595e+03	1.2900e+02	3.3070e+00
3.1220e+02	1.2887e+02	3.1808e+00
8.1701e+02	1.2949e+02	3.2652e+00
1.0130e+03	1.2860e+02	2.9638e+00
1.1630e+03	1.2839e+02	3.1456e+00
2.8544e+02	1.2970e+02	2.9623e+00
3.3906e+02	1.2819e+02	3.5209e+00
4.8863e+02	1.3042e+02	3.1849e+00
5.1548e+02	1.2932e+02	3.2418e+00
1.1359e+03	1.2965e+02	3.4044e+00
5.0957e+01	1.3041e+02	3.3039e+00
8.0265e+01	1.3062e+02	3.2587e+00
2.5940e+02	1.3101e+02	3.1683e+00
