# Particle centroids in pixel units
# Particle radii - the average of the major and minor radii of an ellipse fit to the particle area
# total particles: 3726
# mean radius (raw data): 3.3 Std.Dev. 0.31 (nm), 9.5 Std.Dev. 0.89 (pixels)
# mean radius (gaussian fit): 3.3 Std.Dev. 0.13 (nm), 9.4 Std.Dev. 0.39 (pixels)
# X (pixel)	Y (pixel)	radius (nm)
1.0283e+03	1.4287e+02	3.1174e+00
6.7299e+01	1.4349e+02	3.2958e+00
8.0368e+02	1.4393e+02	3.0815e+00
1.0013e+03	1.4345e+02	3.2147e+00
1.2727e+03	1.4382e+02	3.5394e+00
2.4679e+02	1.4401e+02	3.0874e+00
1.1501e+03	1.4273e+02	3.2308e+00
3.9154e+01	1.4502e+02	3.3142e+00
4.7607e+02	1.4481e+02	3.4328e+00
7.7914e+02	1.4552e+02	3.1398e+00
9.7551e+02	1.4578e+02	3.3265e+00
1.1241e+03	1.4480e+02	3.0963e+00
1.2452e+03	1.4531e+02	3.0059e+00
1.3409e+03	1.4686e+02	3.2361e+00
1.3152e+01	1.4707e+02	3.3085e+00
2.7373e+02	1.4460e+02	3.2618e+00
7.2676e+02	1.4743e+02	3.2066e+00
7.5254e+02	1.4665e+02	3.4066e+00
1.2193e+03	1.4667e+02	3.4278e+00
4.4915e+02	1.4674e+02	3.3398e+00
9.4993e+02	1.4779e+02	3.1883e+00
1.9132e+02	1.4864e+02	3.4175e+00
4.2239e+02	1.4813e+02	3.1395e+00
6.7445e+02	1.4949e+02	3.2527e+00
7.0002e+02	1.4824e+02	3.2576e+00
1.0964e+03	1.4778e+02	3.0915e+00
2.1956e+02	1.4842e+02	3.3003e+00
8.9600e+02	1.5119e+02	3.1721e+00
1.3163e+03	1.4966e+02	3.1425e+00
3.9562e+02	1.5013e+02	3.3225e+00
1.6328e+02	1.5143e+02	3.6135e+00
5.4316e+02	1.5416e+02	3.4656e+00
9.2373e+02	1.5025e+02	3.4252e+00
1.0707e+03	1.5093e+02	3.5517e+00
1.1922e+03	1.5121e+02	3.1465e+00
3.6797e+02	1.5184e+02	3.2904e+00
5.6967e+02	1.5422e+02	3.1454e+00
1.0934e+02	1.5413e+02	3.4879e+00
1.3741e+02	1.5303e+02	3.1337e+00
3.4064e+02	1.5364e+02	3.3191e+00
5.9662e+02	1.5396e+02	3.1888e+00
6.4777e+02	1.5244e+02	2.9631e+00
8.6944e+02	1.5415e+02	3.2751e+00
6.2375e+02	1.5366e+02	3.2713e+00
8.4375e+02	1.5589e+02	3.2447e+00
8.2384e+01	1.5649e+02	3.3274e+00
3.1360e+02	1.5585e+02	3.0941e+00
1.0156e+03	1.5600e+02	3.4329e+00
1.0434e+03	1.5443e+02	2.8617e+00
1.1661e+03	1.5510e+02	3.0302e+00
1.2865e+03	1.5532e+02	2.8538e+00
2.8738e+02	1.5691e+02	3.5490e+00
